Date,Open,High,Low,Close,Adj. Close,Volume
2018-01-02,170.16,172.3,169.26,172.26,168.99,25555900
2018-01-03,172.53,174.55,171.96,172.23,168.96,29517900
2018-01-04,172.54,173.47,172.08,173.03,169.74,22434600
2018-01-05,173.44,175.37,173.05,175.0,171.68,23660000
2018-01-08,174.35,175.61,173.93,174.35,171.04,20567800
2018-01-09,174.55,175.06,173.41,174.33,171.02,21584000
2018-01-10,173.16,174.3,173.0,174.29,170.98,23959900
2018-01-11,174.59,175.49,174.49,175.28,171.95,18667700
2018-01-12,176.18,177.36,175.65,177.09,173.73,25226000
2018-01-16,177.9,179.39,176.14,176.19,172.84,29565900
2018-01-17,176.15,179.25,175.07,179.1,175.7,34386800
2018-01-18,179.37,180.1,178.25,179.26,175.85,31193400
2018-01-19,178.61,179.58,177.41,178.46,175.07,32425100
2018-01-22,177.3,177.78,176.6,177.0,173.64,27108600
2018-01-23,177.3,179.44,176.82,177.04,173.68,32689100
2018-01-24,177.25,177.3,173.2,174.22,170.91,51105100
2018-01-25,174.51,174.95,170.53,171.11,167.86,41529000
2018-01-26,172.0,172.0,170.06,171.51,168.25,39143000
2018-01-29,170.16,170.16,167.07,167.96,164.77,50640400
2018-01-30,165.53,167.37,164.7,166.97,163.8,46048200
2018-01-31,166.87,168.44,166.5,167.43,164.25,32478900
2018-02-01,167.17,168.62,166.76,167.78,164.59,47230800
2018-02-02,166.0,166.8,160.1,160.5,157.45,86593800
2018-02-05,159.1,163.88,156.0,156.49,153.52,72738500
2018-02-06,154.83,163.72,154.0,163.03,159.93,68243800
2018-02-07,163.09,163.4,159.07,159.54,156.51,51608600
2018-02-08,160.29,161.0,155.03,155.15,152.2,54390500
2018-02-09,157.07,157.89,150.24,156.41,154.06,70672600
2018-02-12,158.5,163.89,157.51,162.71,160.27,60819500
2018-02-13,161.95,164.75,161.65,164.34,161.88,32549200
2018-02-14,163.04,167.54,162.88,167.37,164.86,40644900
2018-02-15,169.79,173.09,169.0,172.99,170.4,51147200
2018-02-16,172.36,174.82,171.77,172.43,169.84,40176100
2018-02-20,172.05,174.26,171.42,171.85,169.27,33930500
2018-02-21,172.83,174.12,171.01,171.07,168.5,37471600
2018-02-22,171.8,173.95,171.71,172.5,169.91,30991900
2018-02-23,173.67,175.65,173.54,175.5,172.87,33812400
2018-02-26,176.35,179.39,176.21,178.97,176.29,38162200
2018-02-27,179.1,180.48,178.16,178.39,175.71,38928100
2018-02-28,179.26,180.62,178.05,178.12,175.45,37782100
2018-03-01,178.54,179.78,172.66,175.0,172.38,48802000
2018-03-02,172.8,176.3,172.45,176.21,173.57,38454000
2018-03-05,175.21,177.74,174.52,176.82,174.17,28401400
2018-03-06,177.91,178.25,176.13,176.67,174.02,23788500
2018-03-07,174.94,175.85,174.27,175.03,172.4,31703500
2018-03-08,175.48,177.12,175.07,176.94,174.29,23774100
2018-03-09,177.96,180.0,177.39,179.98,177.28,32185200
2018-03-12,180.29,182.39,180.21,181.72,178.99,32207100
2018-03-13,182.59,183.5,179.24,179.97,177.27,31693500
2018-03-14,180.32,180.52,177.81,178.44,175.76,29368400
